Date,Crude,Gasoline,Jet Fuel,Diesel,Heating Oil,Propane
2019-01-02,52.14,1.825,1.742,1.837,1.759,0.886
2019-01-03,52.93,1.742,1.774,1.838,1.764,0.747
2019-01-04,55.13,2.0,1.891,1.999,1.949,0.784
2019-01-07,56.42,2.113,1.879,2.066,1.924,0.863
2019-01-08,56.09,2.166,2.021,2.136,1.999,0.943
2019-01-10,59.46,2.166,2.231,2.393,2.379,1.211
2019-01-11,60.0,2.279,2.149,2.363,2.245,1.226
2019-01-16,59.52,2.158,1.962,2.131,2.042,0.897
2019-01-17,59.63,2.134,1.959,2.128,2.039,0.912
2019-01-18,60.9,2.177,1.997,2.175,2.072,0.946
2019-01-21,61.49,2.194,2.037,2.205,2.102,0.974
2019-01-22,60.66,2.185,2.018,2.18,2.086,0.969
2019-01-23,60.52,2.178,2.027,2.168,2.076,0.969
2019-01-24,60.22,2.188,2.022,2.161,2.066,0.959
2019-01-25,60.9,2.195,2.022,2.175,2.079,0.985
2019-01-28,59.57,2.136,1.989,2.136,2.04,0.976
2019-01-29,59.71,2.11,1.986,2.122,2.026,0.997
2019-01-30,60.93,2.15,2.023,2.16,2.063,1.019
2019-01-31,61.19,2.134,2.022,2.128,2.039,1.028
2019-02-04,62.33,2.291,2.146,2.275,2.214,0.865
2019-02-05,62.07,2.215,2.103,2.207,2.127,0.921
2019-02-07,61.57,2.28,2.055,2.234,2.087,0.917
2019-02-08,61.37,2.408,2.215,2.352,2.205,1.06
2019-02-12,61.88,2.164,2.177,2.36,2.256,1.207
2019-02-13,62.94,2.1,2.063,2.215,2.115,1.188
2019-02-14,64.28,2.103,2.103,2.259,2.134,1.135
2019-02-15,64.87,2.12,2.134,2.277,2.191,1.109
2019-02-18,66.03,2.242,2.181,2.33,2.243,1.174
2019-02-19,65.79,2.233,2.224,2.316,2.216,1.157
2019-02-20,65.97,2.228,2.228,2.318,2.219,1.139
2019-02-21,66.5,2.247,2.24,2.316,2.218,1.113
2019-02-22,66.56,2.233,2.237,2.319,2.233,1.158
2019-02-25,65.36,2.215,2.194,2.269,2.184,1.152
2019-02-26,64.08,2.123,2.136,2.208,2.125,1.062
