Date,Crude,Gasoline,Jet Fuel,Diesel,Heating Oil,Propane
2023-10-31,74.28,1.367,1.495,1.589,1.556,0.492
2023-10-30,75.8,1.376,1.536,1.61,1.582,0.49
2023-10-27,74.34,1.373,1.601,1.637,1.598,0.49
2023-10-26,74.81,1.36,1.591,1.669,1.627,0.48
2023-10-25,75.2,1.37,1.634,1.678,1.641,0.484
2023-10-24,74.43,1.449,1.7,1.732,1.708,0.505
2023-10-23,73.69,1.431,1.728,1.75,1.707,0.517
2023-10-20,79.44,1.401,1.709,1.746,1.691,0.534
2023-10-19,80.94,1.379,1.658,1.712,1.681,0.528
2023-10-18,78.13,1.415,1.69,1.715,1.708,0.526
2023-10-17,77.71,1.416,1.692,1.755,1.71,0.526
2023-10-16,76.55,1.421,1.69,1.75,1.717,0.53
2023-10-13,79.0,1.437,1.72,1.769,1.727,0.531
2023-10-12,75.04,1.405,1.667,1.725,1.714,0.529
2023-10-11,73.22,1.387,1.708,1.74,1.716,0.524
2023-10-10,76.49,1.384,1.696,1.732,1.694,0.525
2023-10-09,77.08,1.384,1.701,1.756,1.696,0.529
2023-10-06,73.67,1.377,1.701,1.742,1.719,0.531
2023-10-05,74.73,1.336,1.686,1.713,1.654,0.507
2023-10-04,80.58,1.335,1.707,1.731,1.703,0.51
2023-10-03,82.02,1.4,1.741,1.74,1.722,0.528
2023-10-02,83.33,1.37,1.704,1.731,1.689,0.539
2023-09-29,83.51,1.417,1.738,1.757,1.738,0.537
2023-09-28,78.17,1.434,1.741,1.778,1.734,0.53
2023-09-27,77.71,1.413,1.728,1.756,1.709,0.517
2023-09-26,78.39,1.435,1.754,1.764,1.738,0.499
2023-09-25,78.59,1.434,1.721,1.755,1.703,0.464
2023-09-22,80.89,1.441,1.717,1.773,1.716,0.472
2023-09-21,80.89,1.432,1.709,1.748,1.711,0.48
2023-09-20,80.23,1.426,1.703,1.76,1.715,0.498
2023-09-19,79.28,1.465,1.748,1.782,1.764,0.501
2023-09-18,78.68,1.519,1.788,1.823,1.778,0.516
2023-09-15,77.17,1.569,1.887,1.877,1.835,0.516
2023-09-14,77.73,1.575,1.861,1.852,1.828,0.512
2023-09-13,75.8,1.59,1.857,1.852,1.82,0.536
2023-09-12,76.04,1.59,1.804,1.862,1.815,0.545
2023-09-11,75.65,1.625,1.828,1.887,1.837,0.546
2023-09-08,75.28,1.633,1.815,1.891,1.824,0.556
2023-09-07,75.83,1.563,1.765,1.833,1.782,0.534
2023-09-06,74.3,1.621,1.801,1.843,1.817,0.535
2023-09-05,73.26,1.642,1.8,1.848,1.809,0.532
2023-09-01,71.12,1.641,1.832,1.862,1.836,0.521
2023-08-31,69.88,1.742,1.779,1.844,1.786,0.523
2023-08-30,69.8,1.613,1.788,1.846,1.802,0.527
2023-08-29,69.1,1.649,1.79,1.869,1.835,0.534
2023-08-28,69.1,1.679,1.78,1.849,1.823,0.534
2023-08-25,67.86,1.68,1.769,1.856,1.807,0.531
2023-08-24,67.98,1.703,1.747,1.832,1.829,0.53
2023-08-23,68.88,1.705,1.772,1.861,1.8,0.536
2023-08-22,70.14,1.691,1.743,1.851,1.808,0.53
2023-08-21,69.54,1.754,1.789,1.829,1.818,0.528
2023-08-18,70.84,1.764,1.767,1.84,1.785,0.531
2023-08-17,70.93,1.768,1.76,1.805,1.802,0.529
2023-08-16,71.14,1.807,1.769,1.805,1.773,0.527
2023-08-15,72.63,1.82,1.778,1.816,1.81,0.531
2023-08-14,73.18,1.826,1.797,1.841,1.809,0.514
2023-08-11,73.14,1.866,1.777,1.818,1.821,0.504
2023-08-10,73.73,1.849,1.753,1.821,1.765,0.496
2023-08-09,71.8,1.849,1.774,1.823,1.79,0.492
2023-08-08,71.41,1.867,1.78,1.858,1.814,0.5
2023-08-07,72.06,1.782,1.759,1.839,1.794,0.492
2023-08-04,70.81,1.767,1.782,1.823,1.795,0.496
2023-08-03,69.04,1.779,1.751,1.819,1.788,0.492
2023-08-02,70.23,1.8,1.784,1.832,1.819,0.493
2023-08-01,70.23,1.796,1.78,1.848,1.836,0.495
2023-07-31,68.6,1.928,1.779,1.85,1.825,0.483
2023-07-28,69.05,1.881,1.794,1.86,1.835,0.479
2023-07-27,68.79,1.927,1.829,1.88,1.86,0.478
2023-07-26,67.8,1.965,1.844,1.886,1.863,0.496
2023-07-25,67.41,1.945,1.829,1.881,1.842,0.501
2023-07-24,65.42,2.027,1.838,1.919,1.877,0.531
2023-07-21,64.29,1.978,1.843,1.931,1.867,0.519
2023-07-20,65.4,2.003,1.849,1.929,1.889,0.516
2023-07-19,62.58,1.988,1.845,1.901,1.861,0.497
2023-07-18,63.25,1.996,1.844,1.942,1.9,0.49
2023-07-17,63.59,2.009,1.852,1.914,1.866,0.486
2023-07-14,63.23,2.045,1.856,1.907,1.898,0.479
2023-07-13,62.25,2.074,1.862,1.933,1.922,0.493
2023-07-12,61.53,2.085,1.887,1.954,1.904,0.518
2023-07-11,60.8,2.081,1.87,1.926,1.903,0.511
2023-07-10,58.49,2.07,1.895,1.939,1.908,0.52
2023-07-07,59.63,2.034,1.822,1.886,1.866,0.509
2023-07-06,59.18,2.007,1.821,1.896,1.869,0.498
2023-07-05,58.61,2.012,1.864,1.925,1.898,0.495
2023-07-03,57.47,1.957,1.867,1.94,1.901,0.482
2023-06-30,56.14,1.958,1.847,1.931,1.883,0.46
2023-06-29,56.4,1.916,1.843,1.921,1.869,0.463
2023-06-28,55.11,1.881,1.856,1.907,1.902,0.452
2023-06-27,55.74,1.816,1.809,1.865,1.859,0.46
2023-06-26,55.35,1.862,1.86,1.908,1.889,0.459
2023-06-23,56.07,1.868,1.833,1.876,1.863,0.471
2023-06-22,58.76,1.898,1.841,1.902,1.857,0.484
2023-06-21,56.95,1.842,1.835,1.869,1.854,0.485
2023-06-20,58.09,1.851,1.875,1.914,1.877,0.485
2023-06-16,57.83,1.914,1.869,1.934,1.896,0.468
2023-06-15,56.94,1.97,1.942,1.974,1.938,0.466
2023-06-14,55.18,1.914,1.883,1.926,1.884,0.461
2023-06-13,55.11,1.918,1.893,1.925,1.873,0.451
2023-06-12,53.6,1.907,1.912,1.926,1.898,0.445
2023-06-09,57.1,1.864,1.856,1.891,1.865,0.427
2023-06-08,57.16,1.811,1.776,1.83,1.791,0.4
2023-06-07,58.2,1.825,1.806,1.834,1.806,0.412
2023-06-06,57.33,1.805,1.81,1.826,1.792,0.407
2023-06-05,58.27,1.823,1.82,1.836,1.81,0.433
2023-06-02,56.73,1.833,1.793,1.83,1.789,0.415
2023-06-01,55.45,1.745,1.729,1.782,1.723,0.418
2023-05-31,53.6,1.67,1.688,1.685,1.673,0.388
2023-05-30,55.1,1.571,1.649,1.66,1.637,0.37
2023-05-26,57.37,1.582,1.65,1.685,1.635,0.345
2023-05-25,57.37,1.579,1.617,1.635,1.589,0.324
